"","Team","League","Year","RS","RA","W","OBP","SLG","BA","Playoffs","G","OOBP","OSLG"
"X1","ARI","NL","2012",734,688,81,0.328,0.418,0.259,FALSE,162,0.317,0.415
"X2","ATL","NL","2012",700,600,94,0.32,0.389,0.247,TRUE,162,0.306,0.378
"X3","BAL","AL","2012",712,705,93,0.311,0.417,0.247,TRUE,162,0.315,0.403
"X4","BOS","AL","2012",734,806,69,0.315,0.415,0.26,FALSE,162,0.331,0.428
"X5","CHC","NL","2012",613,759,61,0.302,0.378,0.24,FALSE,162,0.335,0.424
"X6","CHW","AL","2012",748,676,85,0.318,0.422,0.255,FALSE,162,0.319,0.405
"X7","CIN","NL","2012",669,588,97,0.315,0.411,0.251,TRUE,162,0.305,0.39
"X8","CLE","AL","2012",667,845,68,0.324,0.381,0.251,FALSE,162,0.336,0.43
"X9","COL","NL","2012",758,890,64,0.33,0.436,0.274,FALSE,162,0.357,0.47
"X10","DET","AL","2012",726,670,88,0.335,0.422,0.268,TRUE,162,0.314,0.402
"X11","HOU","NL","2012",583,794,55,0.302,0.371,0.236,FALSE,162,0.337,0.427
"X12","KCR","AL","2012",676,746,72,0.317,0.4,0.265,FALSE,162,0.339,0.423
"X13","LAA","AL","2012",767,699,89,0.332,0.433,0.274,FALSE,162,0.31,0.403
"X14","LAD","NL","2012",637,597,86,0.317,0.374,0.252,FALSE,162,0.31,0.364
"X15","MIA","NL","2012",609,724,69,0.308,0.382,0.244,FALSE,162,0.327,0.399
"X16","MIL","NL","2012",776,733,83,0.325,0.437,0.259,FALSE,162,0.326,0.414
"X17","MIN","AL","2012",701,832,66,0.325,0.39,0.26,FALSE,162,0.333,0.442
"X18","NYM","NL","2012",650,709,74,0.316,0.386,0.249,FALSE,162,0.315,0.401
"X19","NYY","AL","2012",804,668,95,0.337,0.453,0.265,TRUE,162,0.311,0.419
"X20","OAK","AL","2012",713,614,94,0.31,0.404,0.238,TRUE,162,0.306,0.378
"X21","PHI","NL","2012",684,680,81,0.317,0.4,0.255,FALSE,162,0.306,0.407
"X22","PIT","NL","2012",651,674,79,0.304,0.395,0.243,FALSE,162,0.314,0.39
"X23","SDP","NL","2012",651,710,76,0.319,0.38,0.247,FALSE,162,0.319,0.398
"X24","SEA","AL","2012",619,651,75,0.296,0.369,0.234,FALSE,162,0.308,0.394
"X25","SFG","NL","2012",718,649,94,0.327,0.397,0.269,TRUE,162,0.313,0.393
"X26","STL","NL","2012",765,648,88,0.338,0.421,0.271,TRUE,162,0.313,0.387
"X27","TBR","AL","2012",697,577,90,0.317,0.394,0.24,FALSE,162,0.294,0.352
"X28","TEX","AL","2012",808,707,93,0.334,0.446,0.273,TRUE,162,0.309,0.408
"X29","TOR","AL","2012",716,784,73,0.309,0.407,0.245,FALSE,162,0.335,0.438
"X30","WSN","NL","2012",731,594,98,0.322,0.428,0.261,TRUE,162,0.303,0.373
"X31","ARI","NL","2011",731,662,94,0.322,0.413,0.25,TRUE,162,0.316,0.409
"X32","ATL","NL","2011",641,605,89,0.308,0.387,0.243,FALSE,162,0.31,0.361
"X33","BAL","AL","2011",708,860,69,0.316,0.413,0.257,FALSE,162,0.341,0.46
"X34","BOS","AL","2011",875,737,90,0.349,0.461,0.28,FALSE,162,0.322,0.392
"X35","CHC","NL","2011",654,756,71,0.314,0.401,0.256,FALSE,162,0.335,0.413
"X36","CHW","AL","2011",654,706,79,0.319,0.388,0.252,FALSE,162,0.317,0.397
"X37","CIN","NL","2011",735,720,79,0.326,0.408,0.256,FALSE,162,0.325,0.415
"X38","CLE","AL","2011",704,760,80,0.317,0.396,0.25,FALSE,162,0.323,0.413
